Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
OuterPackaging,imoPackagingCode,string,,5,"^[A-Z0-9]{1,5}$",1A2,"The code of the packaging as per IMO.

**Condition:** only applicable to dangerous goods if specified in the [IMO IMDG code](https://www.imo.org/en/publications/Pages/IMDG%20Code.aspx). If not available, the `packageCode` as per UN recommendation 21 should be used.",
OuterPackaging,numberOfPackages,integer,,,,18,"Specifies the number of outer packagings/overpacks associated with this `Cargo Item`.",
OuterPackaging,packageCode,string,,2,"^[A-Z0-9]{2}$",5H,"A code identifying the outer packaging/overpack. `PackageCode` must follow the codes specified in [Recommendation N°21](https://unece.org/trade/uncefact/cl-recommendations)

**Condition:** only applicable to dangerous goods if the `IMO packaging code` is not available.",
OuterPackaging,woodDeclaration,string,,30,,TREATED_AND_CERTIFIED,"Property to clearly indicate if the products, packaging and any other items are made of wood. Possible values include:
- `NOT_APPLICABLE` (if no wood or any other wood product such as packaging and supports are being shipped)
- `NOT_TREATED_AND_NOT_CERTIFIED` (if the wood or wooden materials have not been treated nor fumigated and do not include a certificate)
- `PROCESSED` (if the wood or wooden materials are entirely made of processed wood, such as plywood, particle board, sliver plates of wood and wood laminate sheets produced using glue, heat, pressure or a combination of these)
- `TREATED_AND_CERTIFIED` (if the wood or wooden materials have been treated and/or fumigated and include a certificate)",
Reference,referenceType,string,yes,3,,FF,"One of the reference type codes defined by DCSA. Possible values are:
 * FF (Freight Forwarder's Reference)
 * SI (Shipper's Reference)
 * SPO (Shippers Purchase Order Reference)
 * CPO (Consignees Purchase Order Reference)
 * CR (Customer's Reference)
 * AAO (Consignee's Reference)
 * ECR (Empty container release reference)
 * CSI (Customer shipment ID)
 * BPR (Booking party reference number)
 * BID (Booking Request ID)
 * SAC (Shipping Agency Code)",
Reference,value,string,yes,100,,XYZ1234,"Reference value",
ReferenceConsignmentItem,type,string,,3,,CR,"The reference type codes defined by DCSA. Possible values are:
- `CR` (Customer’s Reference)
- `AKG` (Vehicle Identification Number)
- `SPO` (Shipper's Purchase Order)
- `CPO` (Consignee's Purchase Order)",
ReferenceConsignmentItem,values,"string list",,,,,"List of `referenceValues` for a given `referenceType`.",
Seal,number,string,,15,,VET123,"Identifies a seal affixed to the container.",
Seal,source,string,,,,CUS,"The source of the seal, namely who has affixed the seal.
- `CAR` (Carrier)
- `SHI` (Shipper)
- `VET` (Veterinary)
- `CUS` (Customs)

**Condition:** Seal source may be required depending on the type of commodity being shipped.",
TareWeight,unit,string,,,,KGM,"The unit of measure which can be expressed in imperial or metric terms
- `KGM` (Kilograms)
- `LBR` (Pounds)",
TareWeight,value,number,,,,4800,"The weight of an empty container (gross container weight).",
TaxOrLegalReference,countryCode,string,yes,2,"^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

When the country code is required but not applicable, use the code `ZZ`.",
TaxOrLegalReference,referenceType,string,yes,50,,PAN,"The reference type code as defined by the relevant tax and/or legal authority.",
TaxOrLegalReference,value,string,yes,35,,ABC1234,"The name or title of the tax or legal reference",
Transport,departureDate,string,yes,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The date of departure from the location where the cargo is handed over by the shipper, or his agent,
to the shipping line. This can refer either to the Place of Receipt or the Port of Loading.",
Transport,dischargeLocation,Location,,,,,,
Transport,"estimatedGeneralOrderDateTime",string,,,,2025-01-23T01:23:45Z,"The estimated date and time when the shipment will be placed under General Order status
(shipment is transferred to a bonded warehouse, and additional fees or penalties may apply).",
Transport,etaAtPlaceOfDeliveryDate,string,,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of arrival of the shipment at Place of Delivery.",
Transport,etaAtPortOfDischargeDate,string,yes,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of arrival of the vessel at the Port of Discharge.",
Transport,inlandArrivalDate,string,,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The date when the container reaches its inland destination (e.g., a warehouse or rail terminal).",
Transport,loadLocation,Location,,,,,,
Transport,modeOfTransport,string,,20,,VESSEL,"Code defined by DCSA to identify a mode of transport.

 * `VESSEL` - Vessel
 * `RAIL` - Rail
 * `TRUCK` - Truck
 * `BARGE` - Barge
 * `MULTIMODAL` - Multimodal",
Transport,onBoardDate,string,,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The date when the container was loaded onto the vessel at the port of origin.",
Transport,placeOfDelivery,Location,,,,,,
Transport,placeOfReceipt,Location,,,,,,
Transport,plannedArrivalDate,string,,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of arrival of the first mother vessel arriving at the destination country.",
Transport,plannedDepartureDate,string,,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of departure of the first mother vessel arriving at the destination country.",
Transport,portOfDischarge,Location,yes,,,,,
Transport,portOfLoading,Location,yes,,,,,
Transport,vesselVoyages,"VesselVoyage list",,,,,,
"UtilizedTransportEquipment",activeReeferSettings,ActiveReeferSettings,,,,,,
"UtilizedTransportEquipment",customsReferences,"CustomsReference list",,,,,"A list of `Customs references`",
"UtilizedTransportEquipment",equipment,Equipment,,,,,,
"UtilizedTransportEquipment",isNonOperatingReefer,boolean,,,,false,"If the equipment is a Reefer Container then setting this attribute will indicate that the container should be treated as a `DRY` container.

**Condition:** Only applicable if `ISOEquipmentCode` shows a Reefer type.",
"UtilizedTransportEquipment",isShipperOwned,boolean,,,,true,"Indicates whether the container is shipper owned (SOC).",
"UtilizedTransportEquipment",references,"Reference list",,,,,"A list of `References`",
"UtilizedTransportEquipment",seals,"Seal list",,,,,"A list of `Seals`",
"UtilizedTransportEquipment",shippingMarks,"string list",,,,,"A list of the `ShippingMarks` applicable to this `UtilizedTransportEquipment`

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.",
VesselVoyage,carrierVoyageNumber,string,yes,50,,1234N,"Carrier-specific identifier of a voyage:
* the import voyage (if `typeCode` is `POD` or `DC`)
* the export voyage (if `typeCode` is `POL`)",
VesselVoyage,typeCode,string,yes,,,POD,"Code representing the type of a vessel voyage.

 * `DC` - Destination country
 * `POD` - Port of destination
 * `POL` - Port of loading",
VesselVoyage,universalVoyageReference,string,,5,"^\d{2}[0-9A-Z]{2}[NEWSR]$",2301W,"Universal identifier of a voyage:
* the import voyage (if `typeCode` is `POD` or `DC`)
* the export voyage (if `typeCode` is `POL`)",
VesselVoyage,vesselFlag,string,,2,"^[A-Z]{2}$",NL,"Vessel flag",
VesselVoyage,vesselIMONumber,string,,8,"^\d{7,8}$",12345678,"The unique reference for a registered vessel, which remains unchanged throughout the entire lifetime of the vessel.
The reference is the International Maritime Organisation (IMO) number,
also sometimes known as the Lloyd's register code.",
VesselVoyage,vesselName,string,yes,50,,"King of the Seas","Vessel name",
Volume,unit,string,yes,,,MTQ,"The unit in which the volume `value` is expressed
 * `FTQ` - Cubic feet
 * `LTR` - Litres
 * `MTQ` - Cubic meters",
Volume,value,string,yes,,"^\d+(\.\d+)?$",123.456,"The volume expressed in the selected `unit`",
Weight,unit,string,yes,,,KGM,"The unit in which the weight `value` is expressed
 * `GRM` - Grams
 * `KGM` - Kilograms
 * `LBR` - Pounds
 * `ONZ` - Ounce",
Weight,value,string,yes,,"^\d+(\.\d+)?$",123.456,"The weight expressed in the selected `unit`",
